Alfredo,Blair,Geoff,Jamie,Kevin,Mat,Moses,PaulC,PaulS,Reed,Ryan
Alfredo 2025 1st,Ryan 2025 11th,Geoff 2025 1st,Jamie 2025 1st,Kevin 2025 1st,Mat 2025 1st,Moses 2025 1st,PaulC 2025 1st,PaulS 2025 1st,Reed 2025 1st,Ryan 2025 1st
Alfredo 2025 2nd,Blair 2025 2nd,Geoff 2025 2nd,Jamie 2025 2nd,Kevin 2025 2nd,Mat 2025 2nd,Moses 2025 2nd,PaulC 2025 2nd,PaulS 2025 2nd,Reed 2025 2nd,Ryan 2025 2nd
Alfredo 2025 3rd,Blair 2025 3rd,Geoff 2025 3rd,Jamie 2025 3rd,Kevin 2025 3rd,Mat 2025 3rd,Moses 2025 3rd,PaulC 2025 3rd,PaulS 2025 3rd,Reed 2025 3rd,Ryan 2025 3rd
Alfredo 2025 4th,Blair 2025 4th,Geoff 2025 4th,Jamie 2025 4th,Kevin 2025 4th,Mat 2025 4th,Moses 2025 4th,PaulC 2025 4th,PaulS 2025 4th,Reed 2025 4th,Ryan 2025 4th
Alfredo 2025 5th,Blair 2025 5th,Geoff 2025 5th,Jamie 2025 5th,Kevin 2025 5th,Mat 2025 5th,Moses 2025 5th,PaulC 2025 5th,PaulS 2025 5th,Reed 2025 5th,Ryan 2025 5th
Alfredo 2025 6th,Blair 2025 6th,Geoff 2025 6th,Jamie 2025 6th,Kevin 2025 6th,Mat 2025 6th,Moses 2025 6th,PaulC 2025 6th,PaulS 2025 6th,Reed 2025 6th,Ryan 2025 6th
Alfredo 2025 7th,Blair 2025 7th,Geoff 2025 7th,Jamie 2025 7th,Kevin 2025 7th,Mat 2025 7th,Moses 2025 7th,PaulC 2025 7th,PaulS 2025 7th,Reed 2025 7th,Ryan 2025 7th
Alfredo 2025 8th,Blair 2025 8th,Geoff 2025 8th,Jamie 2025 8th,Kevin 2025 8th,Mat 2025 8th,Moses 2025 8th,PaulC 2025 8th,PaulS 2025 8th,Reed 2025 8th,Ryan 2025 8th
Alfredo 2025 9th,Blair 2025 9th,Geoff 2025 9th,Jamie 2025 9th,Kevin 2025 9th,Mat 2025 9th,Moses 2025 9th,PaulC 2025 9th,PaulS 2025 9th,Reed 2025 9th,Ryan 2025 9th
Alfredo 2025 10th,Blair 2025 10th,Geoff 2025 10th,Jamie 2025 10th,Kevin 2025 10th,Mat 2025 10th,Moses 2025 10th,PaulC 2025 10th,PaulS 2025 10th,Reed 2025 10th,Ryan 2025 10th
Alfredo 2025 11th,Blair 2025 11th,Geoff 2025 11th,Jamie 2025 11th,Kevin 2025 11th,Mat 2025 11th,Moses 2025 11th,PaulC 2025 11th,PaulS 2025 11th,Reed 2025 11th,Blair 2025 1st
